2 1 0
3 2 0
4 3 0
5 3 0
6 5 0
7 6 0
8 6 4 0
250 184 124 63 0
251 190 127 63 0
252 191 128 63 0
253 190 123 63 0
254 193 127 65 0
255 188 126 66 0
256 187 125 60 0
257 192 128 64 0
258 191 129 63 0
259 190 127 63 0
260 193 129 65 0
261 200 134 69 0
262 200 129 67 0
263 201 132 66 0
264 201 136 67 0
265 198 130 66 0
266 202 133 66 0
267 200 138 66 0
268 201 136 67 0
269 199 135 70 0
270 206 137 70 0
271 201 134 67 0
272 203 139 69 0
273 203 133 67 0
274 205 137 68 0
275 204 137 68 0
276 206 140 69 0
277 210 138 67 0
278 206 141 69 0
279 208 137 70 0
280 206 138 67 0
281 210 141 71 0
282 211 141 70 0
283 216 142 71 0
284 218 145 73 0
285 212 141 71 0
286 218 143 70 0
287 215 143 71 0
288 219 149 72 0
289 218 144 71 0
290 219 147 72 0
291 214 147 76 0
292 215 143 70 0
293 223 148 74 0
294 219 149 75 0
295 224 148 72 0
296 214 143 73 0
297 220 147 73 0
298 226 148 73 0
299 229 150 77 0
300 225 151 75 0
301 229 150 77 0
302 225 147 75 0
303 224 147 77 0
304 225 153 79 0
305 231 153 78 0
306 234 153 76 0
307 226 151 76 0
308 228 153 78 0
309 234 159 79 0
310 236 155 78 0
311 231 153 78 0
312 231 158 77 0
313 234 156 78 0
314 238 157 78 0
315 235 154 78 0
316 234 157 77 0
317 237 159 80 0
318 235 157 78 0
319 242 164 81 0
320 234 155 79 0
321 241 160 80 0
322 239 162 80 0
323 247 168 82 0
324 236 157 76 0
325 245 165 82 0
326 247 159 82 0
327 244 162 82 0
328 241 163 84 0
329 245 163 82 0
330 247 165 82 0
331 250 168 83 0
332 251 169 82 0
333 248 170 85 0
334 247 167 84 0
335 252 167 83 0
336 255 162 83 0
337 251 168 83 0
338 251 165 83 0
339 252 166 85 0
340 256 175 85 0
341 258 170 83 0
342 258 174 85 0
343 256 170 86 0
344 257 171 86 0
345 262 174 88 0
346 264 173 88 0
347 258 173 85 0
348 256 173 91 0
349 264 175 89 0
350 266 177 89 0
351 262 179 89 0
352 261 174 90 0
353 267 179 90 0
354 262 171 85 0
355 261 175 92 0
356 265 175 90 0
357 266 179 91 0
358 265 179 86 0
359 270 179 89 0
360 279 185 87 0
361 274 182 89 0
362 270 179 90 0
363 276 180 89 0
364 271 180 91 0
365 272 183 92 0
366 277 180 90 0
367 276 181 91 0
368 282 181 91 0
369 275 186 92 0
370 274 179 89 0
371 282 185 93 0
372 281 187 94 0
373 286 192 93 0
374 284 189 93 0
375 279 185 95 0
376 286 189 95 0
377 279 188 92 0
378 282 191 95 0
379 288 190 95 0
380 287 192 95 0
381 281 188 91 0
382 289 192 97 0
383 291 196 97 0
384 293 187 100 0
385 287 190 95 0
386 292 193 96 0
387 292 193 97 0
388 294 193 95 0
389 289 192 98 0
390 293 194 97 0
391 296 197 97 0
392 287 189 94 0
393 298 194 98 0
394 299 198 98 0
395 294 201 99 0
396 301 202 99 0
397 302 203 100 0
398 304 206 103 0
399 305 202 104 0
400 305 202 101 0
401 298 198 101 0
402 298 202 103 0
403 299 202 102 0
404 308 201 103 0
405 299 193 98 0
406 303 199 101 0
407 303 203 100 0
408 313 203 107 0
409 304 205 105 0
410 313 205 102 0
411 304 206 101 0
412 308 207 103 0
413 313 210 104 0
414 307 205 102 0
415 310 210 103 0
416 315 206 101 0
417 314 209 105 0
418 312 207 103 0
419 318 210 104 0
420 311 211 103 0
421 320 214 107 0
422 319 214 107 0
423 316 215 107 0
424 321 214 106 0
425 322 215 108 0
426 317 211 107 0
427 319 214 106 0
428 319 213 106 0
429 324 212 107 0
430 325 216 108 0
431 327 218 107 0
432 332 225 111 0
433 327 217 107 0
434 323 218 110 0
435 328 220 109 0
436 328 217 108 0
437 332 221 107 0
438 328 217 109 0
439 326 214 108 0
440 325 218 109 0
441 331 218 110 0
442 335 226 110 0
443 331 219 110 0
444 335 221 111 0
445 336 223 111 0
446 337 227 112 0
447 333 224 110 0
448 331 214 109 0
449 339 227 114 0
450 331 216 108 0
451 337 230 114 0
452 340 223 113 0
453 336 226 111 0
454 341 226 113 0
455 339 225 114 0
456 349 239 118 0
457 339 227 113 0
458 342 225 113 0
459 340 229 115 0
460 341 225 113 0
461 351 231 116 0
462 352 235 118 0
463 347 231 116 0
464 344 227 117 0
465 346 232 116 0
466 347 231 118 0
467 347 233 117 0
468 349 233 116 0
469 350 233 117 0
470 357 237 120 0
471 350 233 117 0
472 347 235 122 0
473 353 237 117 0
474 359 238 119 0
475 361 238 121 0
476 361 244 123 0
477 359 235 118 0
478 364 241 120 0
479 357 238 119 0
480 355 241 117 0
481 359 240 119 0
482 359 242 120 0
483 366 245 120 0
484 369 242 118 0
485 360 235 118 0
486 362 245 123 0
487 364 239 120 0
488 362 243 121 0
489 364 244 124 0
490 369 244 121 0
491 365 246 126 0
492 370 245 122 0
493 367 243 122 0
494 367 239 121 0
495 376 251 124 0
496 367 246 121 0
497 371 247 123 0
498 372 247 124 0
499 380 253 125 0
500 378 250 127 0
501 375 255 125 0
502 370 240 121 0
503 382 255 125 0
504 383 253 122 0
505 375 250 124 0
506 384 259 128 0
507 375 246 125 0
508 385 258 127 0
509 385 254 126 0
510 377 245 125 0
511 382 254 126 0
512 388 255 125 0
